Reference,Category,delta15N-N2O,"Site Preference (SP), defined either as [delta15N_alpha - delta15N_beta] or [15R_alpha/15R_beta - 1], where alpha is the central N atom and beta is the terminal N atom in the assymetric N-N-O molecule",delta18O-N2O,Site description,Surface flux and near-surface data subset
Zou et al._2014,Soil,-22.3,2.8,21.1,Shizuoka_Japan_Agricultural tea plantation_soil gas from 10 to 50 cm depth_June to November 2011,yes
Zou et al._2014,Soil,-34.5,3.7,17.7,Shizuoka_Japan_Agricultural tea plantation_soil gas from 10 to 50 cm depth_June to November 2011,yes
Zou et al._2014,Soil,-34.2,5,16.1,Shizuoka_Japan_Agricultural tea plantation_soil gas from 10 to 50 cm depth_June to November 2011,yes
Zou et al._2014,Soil,-21,2.8,35.8,Shizuoka_Japan_Agricultural tea plantation_soil gas from 10 to 50 cm depth_June to November 2011,yes
Zou et al._2014,Soil,-21.8,1.2,35.5,Shizuoka_Japan_Agricultural tea plantation_soil gas from 10 to 50 cm depth_June to November 2011,yes
Zou et al._2014,Soil,-18.6,1.7,38.4,Shizuoka_Japan_Agricultural tea plantation_soil gas from 10 to 50 cm depth_June to November 2011,yes
Zou et al._2014,Soil,-14.4,2,33,Shizuoka_Japan_Agricultural tea plantation_soil gas from 10 to 50 cm depth_June to November 2011,yes
Zou et al._2014,Soil,-15.6,2.5,31.9,Shizuoka_Japan_Agricultural tea plantation_soil gas from 10 to 50 cm depth_June to November 2011,yes
Zou et al._2014,Soil,-16.4,-0.1,31,Shizuoka_Japan_Agricultural tea plantation_soil gas from 10 to 50 cm depth_June to November 2011,yes
Zou et al._2045,Soil,-17.1,,29.5,Shizuoka_Japan_Agricultural tea plantation_soil gas from 10 to 50 cm depth_June to November 2011,yes
Zou et al._2014,Soil,-12.3,3.5,34.2,Shizuoka_Japan_Agricultural tea plantation_soil gas from 10 to 50 cm depth_June to November 2011,yes
Zou et al._2014,Soil,-13.2,4.9,32.3,Shizuoka_Japan_Agricultural tea plantation_soil gas from 10 to 50 cm depth_June to November 2011,yes
Zou et al._2014,Soil,-15.7,4.4,29.7,Shizuoka_Japan_Agricultural tea plantation_soil gas from 10 to 50 cm depth_June to November 2011,yes
Zou et al._2014,Soil,-17.3,4,26,Shizuoka_Japan_Agricultural tea plantation_soil gas from 10 to 50 cm depth_June to November 2011,yes
Zou et al._2014,Soil,-8.3,2.1,34.5,Shizuoka_Japan_Agricultural tea plantation_soil gas from 10 to 50 cm depth_June to November 2011,yes
Zou et al._2014,Soil,-10.9,3.9,33.8,Shizuoka_Japan_Agricultural tea plantation_soil gas from 10 to 50 cm depth_June to November 2011,yes
Zou et al._2014,Soil,-12.1,2.8,33.2,Shizuoka_Japan_Agricultural tea plantation_soil gas from 10 to 50 cm depth_June to November 2011,yes
Zou et al._2014,Soil,-12.9,2.1,31.8,Shizuoka_Japan_Agricultural tea plantation_soil gas from 10 to 50 cm depth_June to November 2011,yes
This study,Freshwater,-9.4,,51.1,Black Brook Stream_New Brunswick_Canada_agricultural catchment_dissolved N2O_October 2008 to April 2009,yes
This study,Freshwater,-9.9,,38.1,Black Brook Stream_New Brunswick_Canada_agricultural catchment_dissolved N2O_October 2008 to April 2009,yes
This study,Freshwater,-13.1,,36.9,Black Brook Stream_New Brunswick_Canada_agricultural catchment_dissolved N2O_October 2008 to April 2009,yes
This study,Freshwater,-10.8,,27.3,Black Brook Stream_New Brunswick_Canada_agricultural catchment_dissolved N2O_October 2008 to April 2009,yes
This study,Freshwater,-35.3,,28.7,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-33.8,,21.2,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-32.2,,24.5,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-31.3,,23.4,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-31.1,,36.7,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-29.1,,25.2,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-29,,26.6,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-29,,22.7,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-29,,44,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-28.5,,26.1,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-28.2,,34.1,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-27.6,,31.5,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-27.3,,22.6,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-27.1,,47,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-27,,28,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-26.9,,24.4,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-26.9,,44.4,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-26.8,,31.5,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-26.4,,29,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-26.4,,20.8,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-26.2,,30.4,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-25.9,,26.7,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-25.7,,30.7,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-25.6,,30.8,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-25.1,,29.3,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-24.3,,28.1,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-24.1,,22.2,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-23.2,,30.6,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-23.2,,29.7,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-23.2,,22.3,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-23.2,,25.1,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-22.8,,28.3,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-21.9,,22.6,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-21.6,,28.9,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-21.4,,35,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-21.2,,23.8,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-20.6,,20.3,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-20.3,,18.1,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-20.2,,30,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-19.9,,30.9,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-19.9,,35.3,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-19.6,,27.5,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-19.5,,39.7,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-19.4,,16,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-19.3,,22.7,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-18.9,,26.2,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-18.7,,20.1,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-18.5,,33.6,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-18.4,,32.2,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-18.1,,26.9,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-18.1,,19.8,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-18.1,,23.7,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-17.8,,31.9,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-17.2,,22.7,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-17.1,,33.7,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-17,,29.4,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-16.9,,19.9,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-16.6,,23.3,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-16.3,,36.8,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-16.2,,26.3,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-15.9,,26.2,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-15.5,,28.3,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-15.2,,32.2,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-15.2,,19.8,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-15.1,,17.1,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-14.8,,28.1,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-14.7,,27.2,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-14.6,,26.5,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-14.6,,26.1,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-14.5,,25.7,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-14.3,,25.5,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-14.1,,29.4,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-13.9,,13.6,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-13.9,,29.9,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-13.6,,29.2,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-13.3,,28.2,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-13.2,,31.4,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-12.6,,31,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-12.4,,23.8,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-12,,33.2,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-12,,32.2,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-11.8,,26.2,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-11.4,,31.3,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-10.9,,29.6,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-10.8,,33.9,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-10.8,,10.1,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-10.2,,30.8,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-10,,28,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-9.7,,32.9,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-9.5,,27.9,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-9.2,,33.2,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-9.1,,27.5,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,-8.8,,36.3,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-8.7,,24.2,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-8.6,,50,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-8.1,,34.5,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-8,,36.8,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-7.9,,33.7,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-7.9,,40.1,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-7.8,,36.1,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-7.8,,44,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-7.6,,34.9,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-7.3,,28,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-7.3,,33.5,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-7.1,,30.4,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-6.9,,42.8,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-6.7,,37.8,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-6.3,,32.7,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-6.1,,36,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-5.9,,39,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-5.8,,40.2,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-5.8,,35.2,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-5.7,,39.7,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,-5.5,,39.9,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-5.3,,43,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-4.8,,37.4,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-4.8,,35.9,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-4.7,,39.5,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-4.6,,34.3,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-4.5,,45.9,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-4.4,,37.1,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-4.4,,40.1,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-4.4,,30.3,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-4.4,,38.3,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-4.3,,38.2,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-4.2,,39.3,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-4.2,,46.7,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-3.9,,38.6,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,-3.8,,39.1,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-3.8,,34.5,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,-3.7,,38.3,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,-3.7,,43.9,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-3.6,,41.4,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-3.4,,39.8,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-3.3,,37.2,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,-3.3,,39.4,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,-3.3,,39.3,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-3.3,,40.6,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,-3.2,,39,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-3,,34.5,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,-3,,41.2,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,-2.9,,41.4,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-2.7,,38.2,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,-2.7,,38,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,-2.3,,41.8,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-2.2,,44,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-2.1,,23.2,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-2.1,,36.1,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-2.1,,40,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,-1.9,,36.3,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,-1.9,,44.2,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,-1.9,,43.6,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-1.8,,36.3,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,-1.7,,36.7,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,-1.7,,49,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-1.5,,39.8,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,-1.5,,38.5,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,-1.5,,43.8,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,-1.5,,40.4,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,-1.4,,38.5,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,-1.3,,44.9,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-1.3,,45,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-1.3,,45.6,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,-1.2,,40.1,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,-1.2,,45.1,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-1.2,,43.6,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-1.2,,45.6,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,-1.1,,42.2,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,-1,,42.3,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,-0.9,,39.4,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,-0.9,,39.8,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-0.8,,41,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,-0.8,,44.2,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,-0.7,,38.6,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,-0.7,,45.8,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-0.6,,48,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-0.5,,43,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-0.4,,42,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-0.3,,41.8,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,-0.3,,40.5,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,-0.3,,46.3,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-0.2,,46.4,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,-0.1,,42.5,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,-0.1,,42.4,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,0,,45.1,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,0.1,,48.4,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,0.2,,42.1,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,0.3,,42.3,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,0.3,,43,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,0.4,,39.8,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,0.4,,39.3,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,0.4,,43.1,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,0.4,,49.1,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,0.5,,45.5,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,no
This study,Freshwater,0.5,,42.3,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
This study,Freshwater,0.7,,42.9,Grand River_S Ontario_Canada_mixed land-use_dissolved N2O_May 2006 to February 2008,yes
